Height [mm],Radius [mm],Freq [GHz],S11 [dB]
10.0,8.0,7.639999999999922,-6.80536342423852
10.0,8.0,7.659999999999922,-6.80536342423852
10.0,8.0,7.679999999999922,-7.66207959800458
10.0,8.0,7.699999999999921,-7.66207959800458
10.0,8.0,7.719999999999921,-8.61150695946485
10.0,8.0,7.73999999999992,-8.61150695946485
10.0,8.0,7.75999999999992,-9.63941508843538
10.0,8.0,7.779999999999919,-10.1755127548314
10.0,8.0,7.799999999999919,-10.7205449164977
10.0,8.0,7.819999999999919,-11.2683811827385
10.0,8.0,7.839999999999918,-11.8109911771827
10.0,8.0,7.859999999999918,-12.2193682431484
10.0,8.0,7.879999999999917,-12.8363572182799
10.0,8.0,7.899999999999917,-13.0210606906612
10.0,8.0,7.919999999999916,-13.6817473537473
10.0,8.0,7.939999999999916,-13.9920772942465
10.0,8.0,7.959999999999916,-14.2041526145872
10.0,8.0,7.979999999999915,-14.3054807686545
10.0,8.0,7.999999999999915,-14.3054807686545
10.0,8.0,8.019999999999914,-14.3054807686545
10.0,8.0,8.039999999999914,-14.301092962095
10.0,8.0,8.059999999999913,-13.9477921426823
10.0,8.0,8.079999999999913,-13.637069054249
10.0,8.0,8.099999999999913,-13.2585992297225
10.0,8.0,8.119999999999912,-12.8313386619644
10.0,8.0,8.139999999999912,-12.4130443567767
10.0,8.0,8.159999999999911,-12.7023208992633
10.0,8.0,8.179999999999911,-12.1209348647979
10.0,8.0,8.19999999999991,-10.9355606259053
10.0,8.0,8.21999999999991,-10.4662697087778
10.0,8.0,8.23999999999991,-10.01138869437
10.0,8.0,8.25999999999991,-9.57446616442066
10.0,8.0,8.279999999999909,-9.15814631217795
10.0,8.0,8.299999999999908,-8.76447549258514
10.0,8.0,8.319999999999908,-8.56222274175178
10.0,8.0,8.339999999999907,-8.05172888011334
10.0,8.0,8.359999999999907,-7.73581185635007
10.0,8.0,8.379999999999907,-7.44923296313929
10.0,8.0,8.399999999999906,-7.19425943632909
10.0,8.0,8.419999999999906,-6.97383810077972
10.0,8.0,8.439999999999905,-6.79191026515836
10.0,8.0,8.459999999999905,-6.65382494944324
10.0,8.0,8.479999999999905,-6.56686814009899
10.0,8.0,8.499999999999904,-6.54086699765666
10.0,8.0,8.519999999999904,-6.58861649744628
10.0,8.0,8.539999999999903,-6.72520447575197
10.0,8.0,8.559999999999903,-7.29691583711418
10.0,8.0,8.579999999999902,-7.29691583711418
10.0,8.0,8.599999999999902,-7.84131453379205
10.0,8.0,8.619999999999902,-7.84131453379205
10.0,8.0,8.639999999999901,-7.54259050355597
10.0,8.0,8.6599999999999,-5.54996107906399
10.0,8.0,8.6799999999999,-5.54996107906399
10.0,8.0,8.6999999999999,-4.52625451520124
10.0,8.0,8.7199999999999,-3.17202841351414
10.0,8.0,8.739999999999899,-3.17202841351414
10.0,8.0,8.759999999999899,-3.17202841351414
10.0,8.0,8.779999999999898,-4.29790005674425
10.0,8.0,8.799999999999898,-3.42286001007228
10.0,8.0,8.819999999999897,-2.11844098037477
10.0,8.0,8.839999999999897,-1.99643504980086
10.0,8.0,8.859999999999896,-1.89984990651778
10.0,8.0,8.879999999999896,-1.82193736347026
10.0,8.0,8.899999999999896,-1.75822266477641
10.0,8.0,8.919999999999895,-1.70568917324731
10.0,8.0,8.939999999999895,-1.6622747520757
10.0,8.0,8.959999999999894,-1.70343848324325
10.0,8.0,8.979999999999894,-1.5975663699771
10.0,8.0,8.999999999999893,-1.5975663699771
10.0,8.0,9.019999999999893,-1.5975663699771
10.0,8.0,9.039999999999893,-1.54558891565914
10.0,8.0,9.059999999999892,-1.539213975561
10.0,8.0,9.079999999999892,-1.53839425722052
10.0,8.0,9.099999999999891,-1.55478723783603
10.0,8.0,9.11999999999989,-1.55478723783603
10.0,8.0,9.13999999999989,-1.57315598597471
10.0,8.0,9.15999999999989,-1.59945354158593
10.0,8.0,9.17999999999989,-1.63489356646121
10.0,8.0,9.19999999999989,-1.68105424012959
10.0,8.0,9.219999999999889,-1.73997512934777
10.0,8.0,9.239999999999888,-1.81428802642299
10.0,8.0,9.259999999999888,-2.02370369896581
10.0,8.0,9.279999999999887,-2.02370369896581
10.0,8.0,9.299999999999887,-2.16896601753548
10.0,8.0,9.319999999999887,-2.35071881177513
10.0,8.0,9.339999999999886,-2.57891272652314
10.0,8.0,9.359999999999886,-3.23206109033792
10.0,8.0,9.379999999999885,-3.23206109033792
10.0,8.0,9.399999999999885,-3.69875562093043
10.0,8.0,9.419999999999884,-4.2997160089503
10.0,8.0,9.439999999999884,-5.0806662163063
10.0,8.0,9.459999999999884,-7.47659154509911
10.0,8.0,9.479999999999883,-7.47659154509911
10.0,8.0,9.499999999999883,-12.0190393582054
10.0,8.0,9.519999999999882,-12.0190393582054
10.0,8.0,9.539999999999882,-16.1828366354497
10.0,8.0,9.559999999999881,-24.2028689898431
10.0,8.0,9.579999999999881,-16.9235829631892
10.0,8.0,9.59999999999988,-16.9235829631892
10.0,8.0,9.61999999999988,-12.8963235717597
10.0,8.0,9.63999999999988,-10.4065424642097
10.0,8.0,9.65999999999988,-7.54058333640214
10.0,8.0,9.679999999999879,-7.54058333640214
10.0,8.0,9.699999999999878,-6.21358915140661
10.0,8.0,9.719999999999878,-6.21358915140661
10.0,8.0,9.739999999999878,-5.98668415894891
10.0,8.0,9.759999999999877,-5.98668415894891
10.0,8.0,9.779999999999877,-5.98668415894891
10.0,8.0,9.799999999999876,-7.23460241111218
10.0,8.0,9.819999999999876,-7.23460241111218
10.0,8.0,9.839999999999876,-7.26065380952239
10.0,8.0,9.859999999999875,-7.26065380952239
10.0,8.0,9.879999999999875,-7.26065380952239
10.0,8.0,9.899999999999874,-7.26065380952239
10.0,8.0,9.919999999999874,-4.19949548514029
10.0,8.0,9.939999999999873,-4.04358550778446
10.0,8.0,9.959999999999873,-4.05869790979184
10.0,8.0,9.979999999999873,-4.05869790979184
10.0,8.0,9.999999999999872,-4.93741868453993
10.0,8.0,10.019999999999872,-4.93741868453993
10.0,8.0,10.039999999999871,-5.49037448663636
10.0,8.0,10.05999999999987,-6.17417759610622
10.0,8.0,10.07999999999987,-6.17417759610622
10.0,8.0,10.09999999999987,-9.00961097111413
10.0,8.0,10.11999999999987,-9.00961097111413
10.0,8.0,10.13999999999987,-10.1904348183239
10.0,8.0,10.159999999999869,-11.4079322194239
10.0,8.0,10.179999999999868,-12.6862825192359
10.0,8.0,10.199999999999868,-14.5581279697297
10.0,8.0,10.219999999999867,-14.5581279697297
10.0,8.0,10.239999999999867,-14.8416060791194
10.0,8.0,10.259999999999867,-14.6293859301819
10.0,8.0,10.279999999999866,-13.3235409791764
10.0,8.0,10.299999999999866,-13.3235409791764
10.0,8.0,10.319999999999865,-12.5375951408085
10.0,8.0,10.339999999999865,-11.7759465867757
10.0,8.0,10.359999999999864,-11.0689715039808
10.0,8.0,10.379999999999864,-10.0768671232186
10.0,8.0,10.399999999999864,-9.32889867137691
10.0,8.0,10.419999999999863,-9.32889867137691
10.0,8.0,10.439999999999863,-8.86588791246366
10.0,8.0,10.459999999999862,-8.45431758908408
10.0,8.0,10.479999999999862,-8.09159560902627
10.0,8.0,10.499999999999861,-7.77735911917174
10.0,8.0,10.519999999999861,-7.51442969842091
10.0,8.0,10.53999999999986,-7.51924382477259
10.0,8.0,10.55999999999986,-7.17970750499727
10.0,8.0,10.57999999999986,-7.14855647186479
10.0,8.0,10.59999999999986,-7.26028601719019
10.0,8.0,10.619999999999859,-7.58332484125924
10.0,8.0,10.639999999999858,-7.58332484125924
10.0,8.0,10.659999999999858,-9.24015548665286
10.0,8.0,10.679999999999858,-10.6123761559237
10.0,8.0,10.699999999999857,-11.9925266118479
10.0,8.0,10.719999999999857,-11.9925266118479
10.0,8.0,10.739999999999856,-11.0841106078688
10.0,8.0,10.759999999999856,-12.7538289162492
10.0,8.0,10.779999999999855,-7.86493060688765
10.0,8.0,10.799999999999855,-7.86493060688765
10.0,8.0,10.819999999999855,-7.14327824679374
10.0,8.0,10.839999999999854,-6.55225410103833
10.0,8.0,10.859999999999854,-6.55225410103833
10.0,8.0,10.879999999999853,-5.83034228582878
10.0,8.0,10.899999999999853,-5.24467144385231
10.0,8.0,10.919999999999852,-4.88598265003266
10.0,8.0,10.939999999999852,-4.57578934774097
10.0,8.0,10.959999999999852,-4.27068765731267
10.0,8.0,10.979999999999851,-4.27068765731267
10.0,8.0,10.99999999999985,-3.69028767206869
10.0,8.0,11.01999999999985,-3.40711184035202
10.0,8.0,11.03999999999985,-3.12472871736483
10.0,8.0,11.05999999999985,-2.8410398345504
10.0,8.0,11.079999999999849,-2.55456199881107
10.0,8.0,11.099999999999849,-2.26448691857126
10.0,8.0,11.119999999999848,-1.97082549542766
10.0,8.0,11.139999999999848,-1.37843680026551
10.0,8.0,11.159999999999847,-1.37843680026551
10.0,8.0,11.179999999999847,-1.30251548484076
10.0,8.0,11.199999999999847,-1.06254382771323
10.0,8.0,11.219999999999846,-0.545924047493374
10.0,8.0,11.239999999999846,-0.32023161351581
10.0,8.0,11.259999999999845,-0.32023161351581
10.0,8.0,11.279999999999845,-0.0400176806286005
10.0,8.0,11.299999999999844,-0.0234389274932379
10.0,8.0,11.319999999999844,-0.11108154777182
10.0,8.0,11.339999999999844,0.0631056471695393
10.0,8.0,11.359999999999843,0.042179116945784
10.0,8.0,11.379999999999843,-0.0514979623871819
10.0,8.0,11.399999999999842,-1.51559130542831
10.0,8.0,11.419999999999842,-1.51559130542831
10.0,8.0,11.439999999999841,-2.62094416518016
10.0,8.0,11.459999999999841,-3.75378920018572
10.0,8.0,11.47999999999984,-3.75378920018572
10.0,8.0,11.49999999999984,-4.28800123913627
10.0,8.0,11.51999999999984,-4.78657496833583
10.0,8.0,11.53999999999984,-5.24354540121379
10.0,8.0,11.559999999999839,-5.65591732384271
10.0,8.0,11.579999999999838,-6.02302703996059
10.0,8.0,11.599999999999838,-6.62702459324199
10.0,8.0,11.619999999999838,-6.62702459324199
10.0,8.0,11.639999999999837,-6.8693440966369
10.0,8.0,11.659999999999837,-7.07647778567091
10.0,8.0,11.679999999999836,-7.25215969560279
10.0,8.0,11.699999999999836,-7.40009414989432
10.0,8.0,11.719999999999835,-7.52381682404078
10.0,8.0,11.739999999999835,-7.62660759637318
10.0,8.0,11.759999999999835,-7.71144370896719
10.0,8.0,11.779999999999834,-7.8832320034343
10.0,8.0,11.799999999999834,-7.8832320034343
10.0,8.0,11.819999999999833,-7.8832320034343
10.0,8.0,11.839999999999833,-7.91974811642212
10.0,8.0,11.859999999999832,-7.91974811642212
10.0,8.0,11.879999999999832,-7.91974811642212
10.0,8.0,11.899999999999832,-7.98848217901886
10.0,8.0,11.919999999999831,-8.00149417888745
10.0,8.0,11.93999999999983,-8.01100287073596
10.0,8.0,11.95999999999983,-8.01767929519639
10.0,8.0,11.97999999999983,-8.02208987357976
10.0,8.0,11.99999999999983,-8.02208987357976
