"height [mm]","radius [mm]","Freq [GHz]","dB(S(1,1)) []"
9,7,9.3734335839599,-12.2788477293393
9,7,9.39348370927318,-11.6647299896672
9,7,9.41353383458647,-11.1096587265102
9,7,9.43358395989975,-10.6097426824691
9,7,9.45363408521303,-10.1625400527409
9,7,9.47368421052632,-9.76689698692327
9,7,9.4937343358396,-9.42289272703077
9,7,9.51378446115288,-9.13188011657356
9,7,9.53383458646617,-8.89662000253312
9,7,9.55388471177945,-8.72151268275617
9,7,9.57393483709273,-8.61292483663116
9,7,9.59398496240602,-8.57958270014215
9,7,9.6140350877193,-8.63291463162486
9,7,9.63408521303258,-8.78698193682991
9,7,9.65413533834587,-9.05698887372074
9,7,9.67418546365915,-9.45372214369445
9,7,9.69423558897243,-9.96755697660041
9,7,9.71428571428571,-10.5301702557985
9,7,9.734335839599,-10.9505641400604
9,7,9.75438596491228,-10.9056291827839
9,7,9.77443609022556,-10.1737303546583
9,7,9.79448621553885,-8.92142876172657
9,7,9.81453634085213,-7.52433706847692
9,7,9.83458646616541,-6.2462700667996
9,7,9.8546365914787,-5.18562630022993
9,7,9.87468671679198,-4.34631539266442
9,7,9.89473684210526,-3.69608094387304
9,7,9.91478696741855,-3.19549422014618
9,7,9.93483709273183,-2.8092842985723
9,7,9.95488721804511,-2.50937159445461
9,7,9.9749373433584,-2.27459068171571
9,7,9.99498746867168,-2.08940437152753
9,7,10.015037593985,-1.94253943832164
9,7,10.0350877192982,-1.8258471351814
9,7,10.0551378446115,-1.73343750053661
9,7,10.0751879699248,-1.66105060211529
9,7,10.0952380952381,-1.60560987911703
9,7,10.1152882205514,-1.56490817287865
9,7,10.1353383458647,-1.53738809098679
9,7,10.1553884711779,-1.52198881224957
9,7,10.1754385964912,-1.51803968269403
9,7,10.1954887218045,-1.5251869659838
9,7,10.2155388471178,-1.54334433232569
9,7,10.2355889724311,-1.57266056553421
9,7,10.2556390977444,-1.61349991518374
9,7,10.2756892230576,-1.666431789669
9,7,10.2957393483709,-1.73222725466671
9,7,10.3157894736842,-1.81186017568028
9,7,10.3358395989975,-1.90651087205787
9,7,10.3558897243108,-2.01756983587809
9,7,10.3759398496241,-2.1466383757664
9,7,10.3959899749373,-2.29552190202502
9,7,10.4160401002506,-2.46620987729685
9,7,10.4360902255639,-2.66083410606884
9,7,10.4561403508772,-2.88159393757482
9,7,10.4761904761905,-3.13063311175267
9,7,10.4962406015038,-3.409848620092
9,7,10.516290726817,-3.72060781941892
9,7,10.5363408521303,-4.0633478747486
9,7,10.5563909774436,-4.43703505505179
9,7,10.5764411027569,-4.83847730942381
9,7,10.5964912280702,-5.26152329591006
9,7,10.6165413533835,-5.6962598505213
9,7,10.6365914786967,-6.12844858435362
9,7,10.65664160401,-6.53960220856524
9,7,10.6766917293233,-6.90819997809044
9,7,10.6967418546366,-7.21238875800183
9,7,10.7167919799499,-7.43392709135726
9,7,10.7368421052632,-7.56222876711244
9,7,10.7568922305764,-7.59680316693594
9,7,10.7769423558897,-7.54690348627027
9,7,10.796992481203,-7.42862904540833
9,7,10.8170426065163,-7.26094894717968
9,7,10.8370927318296,-7.06222974276539
9,7,10.8571428571429,-6.84809232349783
9,7,10.8771929824561,-6.6305965452825
9,7,10.8972431077694,-6.41833218769264
9,7,10.9172932330827,-6.21695843003114
9,7,10.937343358396,-6.02986976661163
9,7,10.9573934837093,-5.85881648651361
9,7,10.9774436090226,-5.70441283828937
9,7,10.9974937343358,-5.56652327837029
9,7,11.0175438596491,-5.44454203899988
9,7,11.0375939849624,-5.3375883933593
9,7,11.0576441102757,-5.24463908878103
9,7,11.077694235589,-5.16461567267388
9,7,11.0977443609023,-5.09644027441759
9,7,11.1177944862155,-5.03906977211519
9,7,11.1378446115288,-4.9915154098401
9,7,11.1578947368421,-4.95285279672289
9,7,11.1779448621554,-4.92222568009785
9,7,11.1979949874687,-4.89884579831363
9,7,11.218045112782,-4.88199036257566
9,7,11.2380952380952,-4.8709981963534
9,7,11.2581453634085,-4.86526520510205
9,7,11.2781954887218,-4.86423960779955
9,7,11.2982456140351,-4.86741719942165
9,7,11.3182957393484,-4.87433680511801
9,7,11.3383458646617,-4.88457601531026
9,7,11.3583959899749,-4.89774724437037
9,7,11.3784461152882,-4.91349412584373
9,7,11.3984962406015,-4.93148823879044
9,7,11.4185463659148,-4.95142614897513
9,7,11.4385964912281,-4.97302674273332
9,7,11.4586466165414,-4.99602882866872
9,7,11.4786967418546,-5.02018898169545
9,7,11.4987468671679,-5.04527960455022
9,7,11.5187969924812,-5.07108718324025
9,7,11.5388471177945,-5.09741071461702
9,7,11.5588972431078,-5.12406028614675
9,7,11.5789473684211,-5.15085578985704
9,7,11.5989974937343,-5.17762575427595
9,7,11.6190476190476,-5.20420627991458
9,7,11.6390977443609,-5.23044006543136
9,7,11.6591478696742,-5.25617551307356
9,7,11.6791979949875,-5.28126590329382
9,7,11.6992481203008,-5.30556862961824
9,7,11.719298245614,-5.32894448589358
9,7,11.7393483709273,-5.35125699898591
9,7,11.7593984962406,-5.37237180085298
9,7,11.7794486215539,-5.39215603468706
9,7,11.7994987468672,-5.41047779053443
9,7,11.8195488721804,-5.42720556646025
9,7,11.8395989974937,-5.44220775196887
9,7,11.859649122807,-5.45535213100403
9,7,11.8796992481203,-5.46650540249562
9,7,11.8997493734336,-5.47553271707336
9,7,11.9197994987469,-5.48229722928594
9,7,11.9398496240601,-5.48665966546136
9,7,11.9598997493734,-5.48847790825614
9,7,11.9799498746867,-5.4876066000093
9,7,12,-5.48389676829339
9,7.2,4,-1.92473513797319
9,7.2,4.02005012531328,-2.0067382654105
9,7.2,4.04010025062657,-2.09169743603176
9,7.2,4.06015037593985,-2.17968354812699
9,7.2,4.08020050125313,-2.27076537772902
9,7.2,4.10025062656642,-2.36500887839645
9,7.2,4.1203007518797,-2.46247641270898
9,7.2,4.14035087719298,-2.56322591447842
9,7.2,4.16040100250627,-2.66730998142795
9,7.2,4.18045112781955,-2.77477489895257
9,7.2,4.20050125313283,-2.88565959654353
9,7.2,4.22055137844612,-2.99999453953776
9,7.2,4.2406015037594,-3.11780056004241
9,7.2,4.26065162907268,-3.23908763218025
9,7.2,4.28070175438596,-3.36385359819987
9,7.2,4.30075187969925,-3.49208285350112
9,7.2,4.32080200501253,-3.62374500023241
9,7.2,4.34085213032581,-3.75879348083189
9,7.2,4.3609022556391,-3.89716420470408
9,7.2,4.38095238095238,-4.03877418316124
9,7.2,4.40100250626566,-4.18352018981487
9,7.2,4.42105263157895,-4.3312774657812
9,7.2,4.44110275689223,-4.48189849137583
9,7.2,4.46115288220551,-4.63521184840456
9,7.2,4.4812030075188,-4.79102119969709
9,7.2,4.50125313283208,-4.94910441514543
9,7.2,4.52130325814536,-5.10921287614105
9,7.2,4.54135338345865,-5.27107099285537
9,7.2,4.56140350877193,-5.43437597115329
9,7.2,4.58145363408521,-5.59879786787911
9,7.2,4.6015037593985,-5.76397997456701
9,7.2,4.62155388471178,-5.9295395700196
9,7.2,4.64160401002506,-6.0950690813083
9,7.2,4.66165413533835,-6.26013769019394
9,7.2,4.68170426065163,-6.42429341733517
9,7.2,4.70175438596491,-6.58706570954907
9,7.2,4.7218045112782,-6.74796854546785
9,7.2,4.74185463659148,-6.90650406197822
9,7.2,4.76190476190476,-7.06216668778083
9,7.2,4.78195488721805,-7.21444775144875
9,7.2,4.80200501253133,-7.36284050999831
9,7.2,4.82205513784461,-7.50684552102152
9,7.2,4.84210526315789,-7.64597625805304
9,7.2,4.86215538847118,-7.77976484654154
